subject,project,url,root,commit,note,status,adapter_loc,adapter_seconds,gates_seconds,gates_seconds_min,gates_seconds_max,gates_seconds_repeats,clip_escalation,gates_applicable,gates_failed,gates_undecl,error
kair_video,KAIR,https://github.com/cszn/KAIR,/home/laura/02ImproveData/zKAIR,fc1732f4a451,"KAIR VideoRecurrentTrainDataset; recurrent video training loader, unrelated project, own meta-info convention",RUN,93,0.8782,0.0285,0.0279,0.045,5,1,5,0,0,
kair_blindsr,KAIR,https://github.com/cszn/KAIR,/home/laura/02ImproveData/zKAIR,fc1732f4a451,"KAIR DatasetBlindSR; the BSRGAN degradation pipeline, which composes a randomised operator sequence -- the subject that exercises operator_trace",RUN,138,0.3532,0.1752,0.1746,0.183,5,1,6,0,0,
uformer,Uformer,https://github.com/ZhendongWang6/Uformer,/home/laura/02ImproveData/zUformer,65fc970a8ffc,"Uformer DataLoaderTrain; paired pre-rendered restoration loader from an unrelated group, with no BasicSR dependency",RUN,68,0.002,0.0218,0.0217,0.0241,5,1,5,0,0,
mprnet,MPRNet,https://github.com/swz30/MPRNet,/home/laura/02ImproveData/zMPRNet,43feb2aed45f,"MPRNet DataLoaderTrain (denoising); a second, independent codebase that arrived at the same paired input convention",RUN,47,0.0014,0.0245,0.0244,0.0264,5,1,5,0,0,
zerodce,Zero-DCE,https://github.com/Li-Chongyi/Zero-DCE,/home/laura/02ImproveData/zZero-DCE,e0f4adc54d0f,"Zero-DCE lowlight_loader; zero-reference, so it has NO target at all -- the subject the contract vocabulary may not fit",RUN,50,0.0007,0.0922,0.0797,0.1201,5,1,5,0,0,
mmagic,MMagic,https://github.com/open-mmlab/mmagic,/home/laura/02ImproveData/zmmagic,0a560bba9b79,"MMagic BasicFramesDataset; OpenMMLab, a different ecosystem with its own registry and pipeline. Added to exercise temporal_window outside the audited family on more than one subject",RUN,89,0.6637,0.2978,0.2826,0.3968,5,1,5,0,0,
pix2pix_colorization,pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,/home/laura/02ImproveData/zpix2pix,2a7afba2895d,"pix2pix ColorizationDataset; the second external subject that MANUFACTURES its input online from the target rather than reading a pre-rendered pair, and the only one outside the BasicSR/KAIR lineages. Also a different task: colourisation",RUN,78,0.005,0.0254,0.0251,0.0283,5,1,5,0,0,
basicsr_reds,BasicSR,https://github.com/XPixelGroup/BasicSR,/home/laura/02ImproveData/zBasicSR,8d56e3a045f9,"BasicSR REDSDataset; the most widely reused video training loader in restoration. Included for reach, and as a concordance check against subject 1, which descends from it",RUN,118,0.0498,0.0698,0.0681,0.0724,5,1,5,0,0,
