subject,project,url,root,commit,note,status,adapter_loc,adapter_seconds,gates_seconds,gates_seconds_min,gates_seconds_max,gates_seconds_repeats,clip_escalation,gates_applicable,gates_failed,gates_undecl,error
kair_video,KAIR,https://github.com/cszn/KAIR,/home/laura/02ImproveData/zKAIR,fc1732f4a451,"KAIR VideoRecurrentTrainDataset; recurrent video training loader, unrelated project, own meta-info convention",RUN,93,0.8251,0.0168,0.0167,0.0348,5,1,3,0,0,
kair_blindsr,KAIR,https://github.com/cszn/KAIR,/home/laura/02ImproveData/zKAIR,fc1732f4a451,"KAIR DatasetBlindSR; the BSRGAN degradation pipeline, which composes a randomised operator sequence -- the subject that exercises operator_trace",RUN,138,0.3784,0.1736,0.1667,0.1818,5,1,4,1,0,
uformer,Uformer,https://github.com/ZhendongWang6/Uformer,/home/laura/02ImproveData/zUformer,65fc970a8ffc,"Uformer DataLoaderTrain; paired pre-rendered restoration loader from an unrelated group, with no BasicSR dependency",RUN,68,0.0013,0.0132,0.0131,0.0137,5,1,3,0,0,
mprnet,MPRNet,https://github.com/swz30/MPRNet,/home/laura/02ImproveData/zMPRNet,43feb2aed45f,"MPRNet DataLoaderTrain (denoising); a second, independent codebase that arrived at the same paired input convention",RUN,47,0.0014,0.0157,0.0153,0.0166,5,1,3,0,0,
zerodce,Zero-DCE,https://github.com/Li-Chongyi/Zero-DCE,/home/laura/02ImproveData/zZero-DCE,e0f4adc54d0f,"Zero-DCE lowlight_loader; zero-reference, so it has NO target at all -- the subject the contract vocabulary may not fit",RUN,50,0.0004,0.0398,0.0393,0.0432,5,1,3,0,0,
basicsr_reds,BasicSR,https://github.com/XPixelGroup/BasicSR,/home/laura/02ImproveData/zBasicSR,8d56e3a045f9,"BasicSR REDSDataset; the most widely reused video training loader in restoration. Included for reach, and as a concordance check against subject 1, which descends from it",RUN,118,0.0467,0.0739,0.0737,0.0752,5,1,4,0,4,
