subject,project,url,root,commit,note,status,adapter_loc,adapter_seconds,gates_seconds,gates_seconds_min,gates_seconds_max,gates_seconds_repeats,clip_escalation,gates_applicable,gates_failed,gates_undecl,error
kair_video,KAIR,https://github.com/cszn/KAIR,/home/laura/02ImproveData/zKAIR,fc1732f4a451,"KAIR VideoRecurrentTrainDataset; recurrent video training loader, unrelated project, own meta-info convention",RUN,93,0.8831,0.0178,0.0176,0.0357,5,1,3,0,0,
kair_blindsr,KAIR,https://github.com/cszn/KAIR,/home/laura/02ImproveData/zKAIR,fc1732f4a451,"KAIR DatasetBlindSR; the BSRGAN degradation pipeline, which composes a randomised operator sequence -- the subject that exercises operator_trace",RUN,138,0.3417,0.1739,0.171,0.178,5,1,4,1,0,
uformer,Uformer,https://github.com/ZhendongWang6/Uformer,/home/laura/02ImproveData/zUformer,65fc970a8ffc,"Uformer DataLoaderTrain; paired pre-rendered restoration loader from an unrelated group, with no BasicSR dependency",RUN,68,0.0013,0.0132,0.0131,0.0144,5,1,3,0,0,
mprnet,MPRNet,https://github.com/swz30/MPRNet,/home/laura/02ImproveData/zMPRNet,43feb2aed45f,"MPRNet DataLoaderTrain (denoising); a second, independent codebase that arrived at the same paired input convention",RUN,47,0.0018,0.0158,0.0156,0.0174,5,1,3,0,0,
zerodce,Zero-DCE,https://github.com/Li-Chongyi/Zero-DCE,/home/laura/02ImproveData/zZero-DCE,e0f4adc54d0f,"Zero-DCE lowlight_loader; zero-reference, so it has NO target at all -- the subject the contract vocabulary may not fit",RUN,50,0.0004,0.0352,0.0345,0.0381,5,1,3,0,0,
mmagic,MMagic,https://github.com/open-mmlab/mmagic,/home/laura/02ImproveData/zmmagic,0a560bba9b79,"MMagic BasicFramesDataset; OpenMMLab, a different ecosystem with its own registry and pipeline. Added to exercise temporal_window outside the audited family on more than one subject",RUN,89,0.7432,0.2104,0.2076,0.2332,5,1,3,0,0,
pix2pix_colorization,pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,/home/laura/02ImproveData/zpix2pix,2a7afba2895d,"pix2pix ColorizationDataset; the second external subject that MANUFACTURES its input online from the target rather than reading a pre-rendered pair, and the only one outside the BasicSR/KAIR lineages. Also a different task: colourisation",RUN,78,0.0046,0.0158,0.0158,0.0175,5,1,3,1,0,
basicsr_reds,BasicSR,https://github.com/XPixelGroup/BasicSR,/home/laura/02ImproveData/zBasicSR,8d56e3a045f9,"BasicSR REDSDataset; the most widely reused video training loader in restoration. Included for reach, and as a concordance check against subject 1, which descends from it",RUN,118,0.0495,0.0742,0.074,0.0774,5,1,4,0,4,
